Date,Open,High,Low,Close,Adj Close,Volume
2005-12-09,30.750000,30.750000,30.750000,30.750000,19.032114,0
2005-12-12,31.120001,31.120001,31.120001,31.120001,19.261118,0
2005-12-13,31.150000,31.150000,31.150000,31.150000,19.279688,0
2005-12-14,31.190001,31.190001,31.190001,31.190001,19.304443,0
2005-12-15,31.010000,31.010000,31.010000,31.010000,19.193037,0
2005-12-16,31.200001,31.200001,31.200001,31.200001,19.310635,0
2005-12-19,31.240000,31.240000,31.240000,31.240000,19.335394,0
2005-12-20,31.200001,31.200001,31.200001,31.200001,19.310635,0
2005-12-21,31.430000,31.430000,31.430000,31.430000,19.452988,0
2005-12-22,31.490000,31.490000,31.490000,31.490000,19.490120,0
2005-12-23,31.570000,31.570000,31.570000,31.570000,19.539637,0
2005-12-27,31.490000,31.490000,31.490000,31.490000,19.490120,0
2005-12-28,31.629999,31.629999,31.629999,31.629999,19.576771,0
2005-12-29,31.830000,31.830000,31.830000,31.830000,19.700558,0
2005-12-30,31.660000,31.660000,31.660000,31.660000,19.595341,0
